,Price (NPR),Year,Fuel,Kilometer Run,Color,Mileage (Km/L),Engine (CC),Transmission,Brand,Age
78,1950000,2013,Petrol,47000,silver,14,1200,Auto 2WD,Maruti Suzuki,12
79,8000000,2021,Diesel,9500,white,17,1956,Manual 2WD,Jeep,4
80,375000,2000,Petrol,71000,silver,10,1400,Manual 2WD,Other Brands,25
81,920000,2009,Petrol,70000,others,14,1200,Auto 2WD,Maruti Suzuki,16
82,3200000,2010,Diesel,70000,beige,14,2000,Manual 4WD,Nissan,15
83,5500000,2021,Petrol,24800,others,15,1000,Manual 2WD,Skoda,4
84,5750000,2021,Petrol,14500,others,12,1500,Auto 2WD,Kia,4
85,1175000,2013,Petrol,32000,others,15,800,Manual 2WD,Hyundai,12
86,4125000,2021,Petrol,12000,silver,16,1500,Manual 2WD,Maruti Suzuki,4
87,3700000,2022,Electric,12000,blue,270,30,Auto 2WD,Tata,3
88,16700000,2016,Diesel,46543,white,14,2882,Auto 4WD,Toyota,9
89,7650000,2020,Diesel,32000,blue,12,2400,Manual 4WD,Mitsubishi,5
90,3300000,2017,Petrol,70000,white,15,1599,Manual 2WD,Hyundai,8
91,2775000,2008,Petrol,71000,white,14,1500,Manual 4WD,Daihatsu,17
92,1400000,2015,Petrol,49000,silver,12,1200,Power Steering,Maruti Suzuki,10
93,4000000,2020,Petrol,34000,others,15,1500,Manual 2WD,Maruti Suzuki,5
94,3000000,2020,Petrol,11000,blue,18,1200,Manual 2WD,Maruti Suzuki,5
95,1005000,2009,Petrol,49000,silver,12,1300,Manual 2WD,Jeep,16
96,1500000,2021,Diesel,45000,white,14,2900,Manual 2WD,Tata,4
97,1225000,2010,Petrol,62000,grey,15,1200,Auto 2WD,Maruti Suzuki,15
98,7000000,2010,Diesel,52000,gold,10,2800,Manual 4WD,Toyota,15
99,1325000,2016,Petrol,42500,red,18,800,Manual 2WD,Maruti Suzuki,9
100,2300000,2016,Petrol,25000,grey,14,1200,Auto 2WD,Maruti Suzuki,9
101,2100000,2018,Diesel,59000,white,15,2523,Manual 4WD,Mahindra,7
102,2750000,2016,Petrol,23000,grey,14,1200,Manual 2WD,Hyundai,9
103,2525000,2019,Petrol,17000,silver,15,1200,Manual 2WD,Hyundai,6
104,2325000,2010,Petrol,72000,black,12,1800,Manual 4WD,Skoda,15
105,2350000,2021,Diesel,49000,white,14,2500,Power Steering,Mahindra,4
106,1599000,2010,Petrol,60500,grey,14,1197,Manual 2WD,Hyundai,15
107,420000,2012,Petrol,49000,white,18,800,Auto 2WD,Maruti Suzuki,13
108,1500000,2011,Petrol,45400,blue,14,1200,Manual 2WD,Hyundai,14
109,5800000,2021,Petrol,8000,white,14,1600,Auto 2WD,Kia,4
110,2075000,2021,Petrol,31000,silver,14,1200,Manual 2WD,Maruti Suzuki,4
111,2975000,2016,Diesel,62370,silver,16,2179,Manual 2WD,Mahindra,9
112,3990000,2019,Petrol,38000,red,14,1600,Auto 2WD,Ssangyong,6
113,700000,2010,Diesel,49000,others,14,3500,Manual 4WD,Tata,15
114,2100000,2014,Petrol,58000,white,18,1200,Manual 2WD,Maruti Suzuki,11
115,350000,2007,Diesel,35000,blue,7,1948,Auto 2WD,Tata,18
116,400000,2014,Petrol,5500,white,14,800,Auto 2WD,Maruti Suzuki,11
117,950000,2010,Diesel,49000,others,14,2500,Manual 2WD,Mahindra,15
118,395900,2000,Petrol,50000,silver,15,1600,Manual 2WD,Other Brands,25
119,2350000,2014,Diesel,97500,green,15,2200,Manual 2WD,Mahindra,11
120,1075900,2011,Petrol,40000,blue,15,1600,Manual 2WD,Other Brands,14
121,1600000,2015,Petrol,25125,silver,12,1383,Manual 2WD,Fiat,10
122,500000,2007,Diesel,71000,black,14,1500,Manual 2WD,Tata,18
123,900000,2012,Petrol,30000,gold,18,995,Manual 2WD,Chevrolet,13
124,1720000,2007,Diesel,100000,white,14,2400,Manual 2WD,Mahindra,18
125,1500000,2010,Petrol,43000,white,14,1198,Auto 2WD,Hyundai,15
126,1050000,2006,Petrol,49000,blue,14,1086,Power Steering,Hyundai,19
127,1800000,1975,Petrol,95000,silver,12,1200,Manual 2WD,Toyota,50
128,2265000,2018,Petrol,43000,silver,16,1200,Power Steering,Maruti Suzuki,7
129,2600000,2016,Petrol,34000,white,14,1200,Manual 2WD,Hyundai,9
130,1450000,2005,Diesel,95000,red,11,2000,Manual 4WD,Kia,20
131,1900000,2013,Petrol,49000,others,14,1000,Manual 2WD,Ford,12
132,2350000,2009,Petrol,55000,white,12,1600,Manual 2WD,Toyota,16
133,1600000,2015,Petrol,65000,silver,12,1600,Manual 2WD,Skoda,10
134,800000,2003,Petrol,90000,others,14,1086,Manual 2WD,Hyundai,22
135,570000,2002,Petrol,89,blue,14,1086,Manual 2WD,Hyundai,23
136,470000,2001,Petrol,95,white,14,1000,Manual 2WD,Hyundai,24
137,3080000,2021,Petrol,10000,grey,12,1200,Manual 2WD,Kia,4
138,3850000,2022,Electric,49000,others,14,1200,Auto 2WD,Tata,3
139,1290000,2008,Petrol,67000,grey,12,1200,Manual 2WD,Hyundai,17
140,1125000,2010,Petrol,72000,blue,20,1000,Auto 2WD,Maruti Suzuki,15
141,950000,2005,Petrol,49000,white,14,1086,Manual 2WD,Hyundai,20
142,1490000,2013,Petrol,40000,grey,14,1086,Manual 2WD,Hyundai,12
143,2075000,2016,Petrol,39000,blue,14,1197,Manual 2WD,Maruti Suzuki,9
144,1075000,2010,Petrol,61477,silver,14,996,Manual 2WD,Maruti Suzuki,15
145,1300000,2010,Petrol,49000,others,14,1200,Manual 2WD,Maruti Suzuki,15
146,500000,2015,Petrol,40000,white,15,800,Manual 4WD,Maruti Suzuki,10
147,2250000,2015,Petrol,46000,silver,14,1200,Manual 2WD,Maruti Suzuki,10
148,1100000,2018,Diesel,95000,white,16,1405,Manual 4WD,Tata,7
149,1525000,2010,Petrol,49000,others,14,1198,Manual 2WD,Hyundai,15
150,4034000,2023,Petrol,49000,others,14,999,Manual 2WD,Nissan,2
151,2075000,2016,Petrol,47000,brown,16,1200,Manual 2WD,Maruti Suzuki,9
152,650000,2001,Petrol,80000,silver,15,1000,Power Steering,Hyundai,24
153,2550000,2019,Petrol,17000,silver,14,1196,Manual 4WD,Hyundai,6
154,500000,2001,Petrol,90000,others,14,2800,Manual 2WD,Other Brands,24
