Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Ns125 Cc Abs Fi System Fully Brand New Lot-045,"रू. 1,70,000",Manual,Sport,Petrol,2022,,,,27000,125
"Suzuki Gixxer 110 lot fresh bike , 9813296721","रू. 1,45,000",Manual,Standard,Petrol,2019,,,,,155
Dorminar 400 Fi And Abs Fully Fresh Lot-023,"रू. 3,10,000",Manual,Sport,Petrol,2021,,,,25000,400
Honda Dio And System Fully Brand New Lot-046,"रू. 2,50,000",Manual,Scooty,Petrol,2024,,,,13000,
Royal Enfield Hunter 350 Cc,"रू. 4,45,000",Manual,Standard,Petrol,2024,30,148,Dapper black,6000,350
Glamour Fi System Fully Fresh Lot-036 Single Hand,"रू. 1,57,000",Manual,Sport,Petrol,2022,,,,15000,
tvs jupiter for sale,"रू. 65,000",Automatic,Scooty,Petrol,2017,,92,,,125
Bajaj Ns 160cc like new 90 lot 9803656430,"रू. 1,10,000",Automatic,Sport,Petrol,2017,45+,,,,160
discovery 68lot,"रू. 65,000",Automatic,Standard,Petrol,2015,,,,,
Ktm Duke 200 bs4 89 lot super fresh 9803656430,"रू. 2,48,000",Automatic,Sport,Petrol,2017 last,35++,,,,
R15 V3 Abs Fully Fresh Condition Lot-023 Super,"रू. 2,77,000",Manual,Sport,Petrol,2020,,,,24000,155
TVS Ntorq 125,"रू. 1,55,000",Automatic,Scooty,Petrol,2021,,130,blue,22543,125
Honda Aviator 93 Lot Super Fresh Condition Onsell,"रू. 1,19,000",Manual,Scooty,Petrol,2018,,,,,
Aprilla Sr 125cc 131 Lot Super Fresh Condition Ons,"रू. 1,57,000",Manual,Scooty,Petrol,2021,,,,,
Honda sp shine 79 lot sale,"रू. 1,05,000",Automatic,Standard,Petrol,2016,40,79,Black,39000,125
Vespa 150cc Disk Break 117 Lot Sale Or Exchange,"रू. 1,39,000",Manual,Scooty,Petrol,2020,35,117,White,23000,150
Honda Shine Fully Fresh Lot-57 Super Fresh,"रू. 88,000",Manual,Sport,Petrol,2014,,,,27000,
Vespa 125cc 119 Lot Sale Or Exchange,"रू. 1,39,000",Manual,Scooty,Petrol,2020,40,119,Red,29000,125
Jawa 42 300cc 118 Lot Super Fresh Condition Sell,"रू. 2,78,000",Manual,Standard,Petrol,2020,,,,,
Honda dio on sell 2022 model 037 lot,"रू. 1,70,000",Manual,Scooty,Petrol,2022,45-40,,Black,24000,109
Meteor 350 ONE PIECE FOR SALE,"रू. 3,99,999",Manual,Cruiser,Petrol,2022,30,36,Fireball Red,28000,350
Tvs Raider bike bikrima,"रू. 1,50,000",Manual,Others,Petrol,2021,45,032 Pa 0815,Black,35000,125
Pulsar 150 TD,"रू. 1,25,000",Manual,Standard,Petrol,2018,,,,,
Jawa 42 300cc 118 Lot Super Fresh Condition Onsell,"रू. 2,78,000",Manual,Standard,Petrol,2020,,,,,
Pulsar 220 fresh sound n condiition,"रू. 1,15,000",Manual,Standard,Petrol,0,,,,,
Honda Unicon 160cc 82 lot 9803656430,"रू. 1,05,000",Automatic,Standard,Petrol,2017,,,,,
2011 Honda CB600F Hornet – For Sale,"रू. 15,00,000",Manual,Sport,Petrol,2011,,,White,15k,600
Avenger 160 Abs street,"रू. 1,99,999",Manual,Cruiser,Petrol,2021,35,024,Black,14000,160
ntorq 041lot,"रू. 1,85,000",Automatic,Standard,Petrol,2023,,,,,
bullet 105 lot on sale or exchange,रू. 100,Manual,Standard,Petrol,2019,,05,gun grey,720000,350
BMW GS 310 on urgent sale,"रू. 7,30,000",Manual,Others,Petrol,2019,30,113,Grey,31500,310
Honda CRF 250l 2017 on sale,"रू. 12,75,000",Manual,Dirt,Petrol,2017,,82,,28000 kms,250
Sale bike FZS V3 gray colour,"रू. 3,50,000",Automatic,Standard,Petrol,2024,,51,Gray,12800,150
honda aviator 73lot,"रू. 99,000",Automatic,Standard,Petrol,2016,,,,,
hero maestro 98lot,"रू. 85,000",Automatic,Standard,Petrol,2018,,,,,
