Name,Price,Transmission,Types,Fuel,Make Year,Mileage,URL
Ns 200 Fi & Abs (Top New Model ),"रू. 2,59,999",Manual,Sport,Petrol,2022,40,https://hamrobazaar.com/product/ns-200-fi-abs-top-new-model-in-lalitpur/51eb684544fbcd57ed268ccca02826b1
"Duke 200 On Sale 
Cn 9808069712","रू. 2,30,000",Manual,Standard,Petrol,2016,40,https://hamrobazaar.com/product/duke-200-on-sale-cn-9808069712-in-lalitpur/25e0e5ea79e8e954de2519e16a6a0320
fz v2,"रू. 1,50,000",Manual,Others,Petrol,2018,,https://hamrobazaar.com/product/fz-v2-in-nepal/64fc0a6eccd09ff9f3d1ceb9d44ba540
pulsar 220 055lot,"रू. 3,60,000",Manual,Standard,Petrol,2025,,https://hamrobazaar.com/product/pulsar-220-055lot-in-bhaktapur/9a922b81358c9881fc2a1a04b51f0a33
TVs Jupiter 91 Lot 2017 Model 9823657076,"रू. 83,000",Manual,Standard,Petrol,2017,,https://hamrobazaar.com/product/tvs-jupiter-91-lot-2017-model-9823657076-in-bhaktapur/7269f3101d56275205987254d6fc012f
honda shine bike 125 lot.if u want 9706127526,"रू. 1,62,000",Automatic,Others,Petrol,2021,,https://hamrobazaar.com/product/honda-shine-bike-125-lotif-u-want-9706127526-in-kathmandu/8ad859eb22a8cfd979bc2ce13dfbd1e5
Ns125 Fi And Abs Bs6 Fully Brand New Lot-045,"रू. 1,77,000",Manual,Sport,Petrol,2024,,https://hamrobazaar.com/product/ns125-fi-and-abs-bs6-fully-brand-new-lot045-in-bhaktapur/ee0df00840cdc621c79536f8b831c5b5
Fresh 220,"रू. 2,30,000",Manual,Sport,Petrol,2021,40,https://hamrobazaar.com/product/fresh-220-in-kathmandu/f79b7fe83a862955823f7ae5530f9751
Aprila SR 150cc 032lot,"रू. 1,58,000",Manual,Scooty,Petrol,2021,,https://hamrobazaar.com/product/aprila-sr-150cc-032lot-in-bhaktapur/e74ebaafe6704fc3d926cd91aa22003a
Yamaha Fzs v2,"रू. 2,10,000",Automatic,Sport,Petrol,2019,50,https://hamrobazaar.com/product/yamaha-fzs-v2-in-lalitpur/d6d880ad728aaa58a6f99b148b3ca318
Yamaha Fz V3 145 Lot 2023 Model 9823657076,"रू. 3,38,000",Manual,Standard,Petrol,2023,,https://hamrobazaar.com/product/yamaha-fz-v3-145-lot-2023-model-9823657076-in-bhaktapur/01e9eeb4a33aabd34e22a5f8e44e1e5a
Pulsar 220 2021 model 124 lot,"रू. 2,30,000",Manual,Sport,Petrol,2021,45,https://hamrobazaar.com/product/pulsar-220-2021-model-124-lot-in-kathmandu/19039cd76fc86756385bb9081d98d9c4
Yamaha R15 V3 2018 Model 9823657076,"रू. 2,37,000",Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/yamaha-r15-v3-2018-model-9823657076-in-bhaktapur/cedf137baea88845265da837d199de9b
Honda Dio 70 Lot 9823657076,"रू. 1,08,000",Manual,Standard,Petrol,2015,,https://hamrobazaar.com/product/honda-dio-70-lot-9823657076-in-bhaktapur/71cb30707d97f6b1d21193e3664d3b44
Zontes 150U1,"रू. 5,20,000",Automatic,Others,Petrol,2025,40,https://hamrobazaar.com/product/zontes-150u1-in-lalitpur/979a0d9b1b89a3d965b2ec0bf857c8d5
"Mahindra Flyte Scooter for Sale – Only Rs. 70,000!","रू. 70,000",Automatic,Scooty,Petrol,2073,,https://hamrobazaar.com/product/mahindra-flyte-scooter-for-sale-only-rs-70000-in-dhanusha/964cbd563226919567a14f667dfc41d8
Jawa 42 on sale super fresh 126 lot 2021 last,रु 380,Manual,Cruiser,Petrol,2021,30,https://hamrobazaar.com/product/jawa-42-on-sale-super-fresh-126-lot-2021-last-in-bhaktapur/bbfcf20ca846e4476fbefb950181305b
Mt-15 on sale,"रू. 4,30,000",Manual,Sport,Petrol,2023/2024,45,https://hamrobazaar.com/product/mt15-on-sale-in-lalitpur/c6e8357304205c448aa815b1f9aeb0fa
Ntroq fi lot 133 super fresh condition,"रू. 1,95,000",Automatic,Scooty,Petrol,2021,40,https://hamrobazaar.com/product/ntroq-fi-lot-133-super-fresh-condition-in-bhaktapur/856b3a2bdd3ad818f4e24f175c92e714
Urgent Sell Tvs( RTR) 1604v,"रू. 2,05,000",Manual,Standard,Petrol,2022,45,https://hamrobazaar.com/product/urgent-sell-tvs-rtr-1604v-in-kathmandu/09113f18fdea3a78b6dc787d1be4c41b
Yamaha fascino (104 lot),"रू. 89,000",Manual,Scooty,Petrol,2019,,https://hamrobazaar.com/product/yamaha-fascino-104-lot-in-kathmandu/c9b6bde83313487cf93b5c78ab2f5be3
Yamaha R15 V3 122 Lot 2021 Model 9823657076,"रू. 3,10,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/yamaha-r15-v3-122-lot-2021-model-9823657076-in-bhaktapur/c392c3398dc4ea3a9967289294a9ec91
Hornet 160 Lot 001,"रू. 1,28,000",Manual,Standard,Petrol,2018,40,https://hamrobazaar.com/product/hornet-160-lot-001-in-bhaktapur/203076ff480dcb80d36a84fcbc531f30
On Sale,"रू. 1,80,000",Automatic,Cruiser,Petrol,2017,35,https://hamrobazaar.com/product/on-sale-in-rupandehi/31b4c1d1ca94d09ec9de31ef67ef736c
Pulsar 220 Bike Sell Urgent ‼️,"रू. 2,10,000",Manual,Standard,Petrol,2020,38,https://hamrobazaar.com/product/pulsar-220-bike-sell-urgent-in-kathmandu/0777455715047d8329742e950b9e056e
bajaj pulsar 150 on sale 2012 model(Bajaj),"रू. 65,000",Manual,Others,Petrol,2012,,https://hamrobazaar.com/product/bajaj-pulsar-150-on-sale-2012-model-in-makwanpur/fd3f9de9235e4fcd96614787643b8e02
FZ V3 Urgent Sale,"रू. 2,75,000",Automatic,Sport,Petrol,2021,40+,https://hamrobazaar.com/product/fz-v3-urgent-sale-in-kathmandu/04b8d3b80564912c545127a0621edb69
as 200,"रू. 95,000",Manual,Sport,Petrol,2015,30,https://hamrobazaar.com/product/as-200-in-nepal/69ee03dfa7aab9412f77673ce7729da3
Ns 200,"रू. 1,70,000",Manual,Sport,Petrol,2017,30+,https://hamrobazaar.com/product/ns-200-in-kathmandu/e0c51d6dd82b5c3946038b32f2638438
Bullet 350 Bs6 Fi 147 Lot 2023 Model 9823657076,"रू. 4,38,000",Manual,Standard,Petrol,2023,,https://hamrobazaar.com/product/bullet-350-bs6-fi-147-lot-2023-model-9823657076-in-bhaktapur/3299a2194aa2d32f19ef1ba3534aa6cf
Tvs Nrorque Raceediton Fi 130 Lot Sale Or Ex,"रू. 1,99,000",Manual,Scooty,Petrol,2021,40,https://hamrobazaar.com/product/tvs-nrorque-raceediton-fi-130-lot-sale-or-ex-in-kathmandu/f15d6dad0e606fd179030e0c301b3d28
Rayzr Fully Fresh Condition Lot-013 Super Fresh,"रू. 1,20,000",Manual,Scooty,Petrol,2019,,https://hamrobazaar.com/product/rayzr-fully-fresh-condition-lot013-super-fresh-in-bhaktapur/80759279e3c4f8245ba1e60712fb66ed
Cross X 250 SE SINGLE HAND,"रू. 3,25,000",Automatic,Dirt,Petrol,2016,25,https://hamrobazaar.com/product/cross-x-250-se-single-hand-in-kathmandu/08459b604506ecc7356cb65e71132fda
Ns 200 121 Lot,"रू. 1,98,000",Manual,Standard,Petrol,2020,,https://hamrobazaar.com/product/ns-200-121-lot-in-bhaktapur/361e0638458bf3eb0d5488c6220fb1b0
Tvs Nrorque Raceediton 136 Lot Sale Or Exchange,"रू. 2,09,000",Manual,Standard,Petrol,2021,45,https://hamrobazaar.com/product/tvs-nrorque-raceediton-136-lot-sale-or-exchange-in-kathmandu/a98bbb82d5ee3ae559e70c1533bb0e71
Urgent Sale Xr 190 041 Lot Single Hand Very Low Ra,"रू. 5,99,000",Manual,Dirt,Petrol,2022,,https://hamrobazaar.com/product/urgent-sale-xr-190-041-lot-single-hand-very-low-ra-in-kathmandu/e7ab59e76a19ed339abe2210fbd9c699
Honda aviator 75 lot sale,"रू. 90,000",Automatic,Scooty,Petrol,2016,35,https://hamrobazaar.com/product/honda-aviator-75-lot-sale-in-nepal/139ed2ab49d553362a418976d5225f1e
Bajaj Ns200cc Fi Abs 2020 Model 9823657076,"रू. 1,98,000",Manual,Standard,Petrol,2020,,https://hamrobazaar.com/product/bajaj-ns200cc-fi-abs-2020-model-9823657076-in-bhaktapur/750c77ff6660c808a27cadc31b0e8429
Aprilia Sr 125(Aprilia),"रू. 1,48,000",Automatic,Scooty,Petrol,2021,35,https://hamrobazaar.com/product/aprilia-sr-125-in-kathmandu/3350c8eba6535d9aaaa868a825a1ea5d
Honda xr 150,"रू. 2,90,000",Manual,Standard,Petrol,2017,40+,https://hamrobazaar.com/product/honda-xr-150-in-kathmandu/e30653fee080fa5940fba2a26a626c83
"NTORQ On Sale 
Cn 9808069712","रू. 1,45,000",Manual,Scooty,Petrol,2020,25,https://hamrobazaar.com/product/ntorq-on-sale-cn-9808069712-in-lalitpur/abb130b90662263b93a62ac6528cd247
Bajaj Ns 200cc 135 Lot 2022 Model 9823657076,"रू. 2,38,000",Manual,Standard,Petrol,2022,,https://hamrobazaar.com/product/bajaj-ns-200cc-135-lot-2022-model-9823657076-in-bhaktapur/f908a93f5a4ecf64de714dd6d9f941d6
Yamaha Fz V2 149 Lot 2023 Model 9823657076,"रू. 2,78,000",Manual,Standard,Petrol,2023,,https://hamrobazaar.com/product/yamaha-fz-v2-149-lot-2023-model-9823657076-in-bhaktapur/8538df1343b04562dc9c4a98e714d0a5
Pulsar 150cc,"रू. 65,000",Automatic,Standard,Petrol,2007,46,https://hamrobazaar.com/product/pulsar-150cc-in-kathmandu/7a2951af0c63554576205bff6bfd9d11
hero iSmart 63Lot bike ✅ 9813296721,"रू. 63,000",Manual,Standard,Hybrid,2014,,https://hamrobazaar.com/product/hero-ismart-63lot-bike-9813296721-in-bhaktapur/4c074643e16edc1dfe8f307ebea3847e
Aviator 127 Lot(single Hand),"रू. 1,58,000",Automatic,Scooty,Petrol,2021,,https://hamrobazaar.com/product/aviator-127-lotsingle-hand-in-bhaktapur/ca31c5abe10341e9c1072733c42e7f58
Mt-15,"रू. 3,90,000",Manual,Others,Petrol,2022,35,https://hamrobazaar.com/product/mt15-in-kathmandu/c3eda6fd380978ab573d7b64d1408e74
Ntroq 125 2021 model sale !!!,"रू. 1,65,000",Manual,Scooty,Petrol,2021,30 35,https://hamrobazaar.com/product/ntroq-125-2021-model-sale-in-kathmandu/8b36b31bfb0817064c69ce362a24a0fd
"Shine On Sale 
Cn 9808069712","रू. 1,29,999",Manual,Cruiser,Petrol,2018,45,https://hamrobazaar.com/product/shine-on-sale-cn-9808069712-in-lalitpur/9b0197d7dc8e48a5b4f8bdff15357667
79 lot splonder 100cc on sale,"रू. 83,000",Manual,Standard,Petrol,2016,,https://hamrobazaar.com/product/79-lot-splonder-100cc-on-sale-in-kathmandu/7ea7e687ab0476886026e487c276590d
For Sale: 2016 Royal Enfield Bullet 350(Royal Enfield),"रू. 3,10,000",Automatic,Standard,Petrol,2016,45,https://hamrobazaar.com/product/for-sale-2016-royal-enfield-bullet-350-in-kathmandu/2a45adba319dbcda72508bc5302876c0
Honda Xr 190 Fi Single Haned Sale Or Ex,"रू. 5,82,000",Manual,Dirt,Petrol,2021,45,https://hamrobazaar.com/product/honda-xr-190-fi-single-haned-sale-or-ex-in-kathmandu/105f55d0511d424839b22d21c66d5763
Aprilia 150 race edition (95 lot),"रू. 1,26,000",Automatic,Scooty,Petrol,2018,,https://hamrobazaar.com/product/aprilia-150-race-edition-95-lot-in-kathmandu/65726a8b995a45886c9413c294e5302c
Classic 350 Royal Enfield Bike On Hire.( Rental).,"रू. 3,500",Manual,Standard,Petrol,2016,25,https://hamrobazaar.com/product/classic-350-royal-enfield-bike-on-hire-rental-in-kathmandu/fe9804b0bfbffcc29ff98af2adda370c
Honda Shine 38 Lot,"रू. 65,000",Manual,Standard,Petrol,2010,,https://hamrobazaar.com/product/honda-shine-38-lot-in-lalitpur/c11947c6129376dcaf56102d9876cc1c
"Ns 160 lot 90 
super fresh condition on sale","रू. 1,50,000",Manual,Sport,Petrol,2017,,https://hamrobazaar.com/product/ns-160-lot-90-super-fresh-condition-on-sale-in-nepal/70acf2e3e45395eb76e10e1ea9dadd55
KTM DUKE 200 BS6,"रू. 3,39,000",Manual,Standard,Petrol,2022,30,https://hamrobazaar.com/product/ktm-duke-200-bs6-in-kathmandu/3a26ae79a773b3ec862a6b2857cbab2a
"OLD MODEL DIO 50 LOT , 9813296721","रू. 55,000",Automatic,Scooty,Petrol,2012,,https://hamrobazaar.com/product/old-model-dio-50-lot-9813296721-in-bhaktapur/9b70768f2d5a5251df6bda49819282e6
Yahama Rayz Fi Disk 133 Lot Sale Or Exchange,"रू. 1,89,000",Manual,Scooty,Petrol,2021,50,https://hamrobazaar.com/product/yahama-rayz-fi-disk-133-lot-sale-or-exchange-in-kathmandu/144b1d35327f39d4ff410ef6aacab8b3
ktm rc 200/ 2019 model,रू. 369,Manual,Sport,Petrol,2019,30,https://hamrobazaar.com/product/ktm-rc-200-2019-model-in-lalitpur/89ce40f5fc3e2b854964a1e703bf3084
BMW 310GS,"रू. 8,50,000",Manual,Dirt,Petrol,2019,,https://hamrobazaar.com/product/bmw-310gs-in-lalitpur/68e9010a39e44bf3daaf6339db00e7ae
Ebike sell(Other Motorcycle Brands),"रू. 80,000",Automatic,Scooty,Electric,2017,40-50,https://hamrobazaar.com/product/ebike-sell-in-kathmandu/d0dd9d6507b54fd6bee5eb7dd9a8539a
Italica formula 150,"रू. 2,00,000",Manual,Scooty,Petrol,2021,,https://hamrobazaar.com/product/italica-formula-150-in-lalitpur/331f9d3406c89523b1005945c97aa04e
Super spender bike on sale(Hero),"रू. 1,25,000",Manual,Standard,Petrol,2017,55,https://hamrobazaar.com/product/super-spender-bike-on-sale-in-kathmandu/e063205c916d4f6a9480711f02d5b1bc
Honda NX200,"रू. 3,90,000",Manual,Others,Petrol,2024,,https://hamrobazaar.com/product/honda-nx200-in-lalitpur/a2b503e082d6a124cd9f243ade1d1a4e
Ray Zr 051 Lot,"रू. 2,78,000",Automatic,Scooty,Petrol,2023,,https://hamrobazaar.com/product/ray-zr-051-lot-in-bhaktapur/ac6371482e2a9f3f929bc46c41d31ecb
120 lot abs 220f pulsar on sell,"रू. 2,14,000",Manual,Standard,Petrol,2020,40,https://hamrobazaar.com/product/120-lot-abs-220f-pulsar-on-sell-in-lalitpur/3bb5d6921d13d427d52869ac83fa9f94
bike on sale(Motorhead),"रू. 2,00,000",Automatic,Sport,Petrol,2021,30,https://hamrobazaar.com/product/bike-on-sale-in-nepal/9c625188692d4531ab90f0ff1d759f1d
MV Agusta Rivale800,"रू. 32,50,000",Manual,Others,Petrol,2015,15,https://hamrobazaar.com/product/mv-agusta-rivale800-in-kathmandu/76c7b37e89da0b935f63be964c793da8
"APACHE RTR 160 99 LOT , 9813296721","रू. 1,35,000",Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/apache-rtr-160-99-lot-9813296721-in-bhaktapur/1c00bfe116be11512080f3a5721f0b69
Ray Zr 141 Lot,"रू. 1,98,000",Automatic,Scooty,Petrol,2022,,https://hamrobazaar.com/product/ray-zr-141-lot-in-bhaktapur/83c4abf46461b4101580e5d6a9939647
Tvs Ntorq race Edition (117 lot),"रू. 1,54,000",Automatic,Scooty,Petrol,2020,,https://hamrobazaar.com/product/tvs-ntorq-race-edition-117-lot-in-kathmandu/f75a468ca552e712ef49cb32673a8498
"ns 200, madesh pradesh, bike in ktm","रू. 1,70,000",Manual,Standard,Petrol,2019,35,https://hamrobazaar.com/product/ns-200-madesh-pradesh-bike-in-ktm-in-kathmandu/e2684afc99d91aaa7d24ae46eb70a1ad
Aprilia Sr 150,"रू. 1,95,000",Manual,Scooty,Petrol,2022,,https://hamrobazaar.com/product/aprilia-sr-150-in-lalitpur/5a0938529c155e8fb8b81756fde17ac5
Hero Xtreme,"रू. 1,30,000",Manual,Sport,Petrol,2019,45,https://hamrobazaar.com/product/hero-xtreme-in-lalitpur/f1d648112ab7760492b7bef58b54fafc
190 XR Honda Bike,"रू. 4,50,000",,,,,,https://hamrobazaar.com/product/190-xr-honda-bike-in-kathmandu/744d69e2dd766980a9ff533d2468cdaa
Single Hand Vespa Sxl (Fixed Price),"रू. 79,999",Manual,Scooty,Petrol,2016,30,https://hamrobazaar.com/product/single-hand-vespa-sxl-fixed-price-in-kathmandu/4aed4e7eb065cd57502406c6fafd56c1
KTM DUKE 200 BS6(KTM),"रू. 3,70,000",Manual,Others,Petrol,2021,,https://hamrobazaar.com/product/ktm-duke-200-bs6-in-kathmandu/c11615bf1888b14a81c624b2e6c22935
Yamaha Rayzr 78Lot 2016 Model 9745326273,"रू. 75,000",Automatic,Scooty,Petrol,2016,,https://hamrobazaar.com/product/yamaha-rayzr-78lot-2016-model-9745326273-in-bhaktapur/c8bafe0fbf02ab18fda251f41b0e61fd
xpulse 026lot,"रू. 2,30,000",Automatic,Standard,Petrol,2021,,https://hamrobazaar.com/product/xpulse-026lot-in-bhaktapur/26959216a7784bd5ebc2a807671623ad
Hero Honda Super splendor,"रू. 1,00,000",Manual,Standard,Petrol,2017,55-60,https://hamrobazaar.com/product/hero-honda-super-splendor-in-kathmandu/bdcd18741362c3a762d03a9b20313a02
Ns 200cc Abs  123 lot 9823657076,"रू. 1,98,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/ns-200cc-abs-123-lot-9823657076-in-bhaktapur/022fa6c629d38a664ab51fb98a2a3c90
dio bike for sale(Other Motorcycle Brands),"रू. 25,000",Automatic,Scooty,Petrol,2007,,https://hamrobazaar.com/product/dio-bike-for-sale-in-nepal/17595f387e7d4666847472f7a92df2f3
TVs Raider 136 Lot 2022 Model 9823657076,"रू. 1,73,000",Manual,Standard,Petrol,2022,,https://hamrobazaar.com/product/tvs-raider-136-lot-2022-model-9823657076-in-bhaktapur/95129e9cc91785076824724dbe66bce0
97 lot vespa 125cc,"रू. 1,25,000",Automatic,Scooty,Petrol,2017,35,https://hamrobazaar.com/product/97-lot-vespa-125cc-in-nepal/337dcf118becfce0ead6aae7709c8f65
Honda Dio 057 lot 2025 model on sale 9860797831,"रू. 2,50,000",Automatic,Scooty,Petrol,2025,50,https://hamrobazaar.com/product/honda-dio-057-lot-2025-model-on-sale-9860797831-in-lalitpur/81e76d198da242c4fa1f13bed9993c53
Bajaj Pulsar 150cc 79 Lot Sale Or Exchange,"रू. 1,25,000",Manual,Standard,Petrol,2016,45,https://hamrobazaar.com/product/bajaj-pulsar-150cc-79-lot-sale-or-exchange-in-kathmandu/26e58fecc6b2ff40bdf04ae89a557278
Yamaha R15 V3 113 Lot 2019 Model 9823657076,"रू. 2,53,000",Manual,Standard,Petrol,2019,,https://hamrobazaar.com/product/yamaha-r15-v3-113-lot-2019-model-9823657076-in-bhaktapur/0f59e9c471d6e7b9d5acff06b86ddefc
Horwin CR6 Black(Other Motorcycle Brands),"रू. 6,00,000",Automatic,Standard,Electric,2023,95KM,https://hamrobazaar.com/product/horwin-cr6-black-in-kathmandu/8005b50aa685575ffc37e80231e2bfac
Dio Scotty,"रू. 1,30,000",,,,,,https://hamrobazaar.com/product/dio-scotty-in-kathmandu/fc8a7840ee43bc7bd2b4873c94306c25
Itallica Formula 150cc Doube Disk 99 Lot Sale Or E,"रू. 1,29,000",Manual,Scooty,Petrol,2019,30,https://hamrobazaar.com/product/itallica-formula-150cc-doube-disk-99-lot-sale-or-e-in-kathmandu/4274529831d40aede4131c7a698bca87
Ntorq xp race edition 2024 model,"रू. 2,70,000",Automatic,Scooty,Petrol,2024,,https://hamrobazaar.com/product/ntorq-xp-race-edition-2024-model-in-jhapa/926879c893cc8777f27890473cc22282
Pleasure 63 Lot 2015 Model,"रू. 62,000",Automatic,Scooty,Petrol,2015,40,https://hamrobazaar.com/product/pleasure-63-lot-2015-model-in-bhaktapur/217de6b103cae784b3d2564071d9e584
Tvs Appachi 200 Abs Fi 141 Lot Sale Or Exchange,"रू. 2,79,000",Manual,Standard,Petrol,2022,40,https://hamrobazaar.com/product/tvs-appachi-200-abs-fi-141-lot-sale-or-exchange-in-kathmandu/0186cd141f51ca10cd9f39a7ee66badf
FZ V2 70k running Jankpur lot,"रू. 1,40,000",Automatic,Standard,Petrol,2017,40+,https://hamrobazaar.com/product/fz-v2-70k-running-jankpur-lot-in-kathmandu/0bbe71db913f10fb1dc72ce2908a2bc6
ns200 059 lot,"रू. 4,00,000",Manual,Sport,Petrol,2025,,https://hamrobazaar.com/product/ns200-059-lot-in-bhaktapur/9bf53c262b557b0c2c009ca268da3c59
KTM duke2000 BS4 On Sale,"रू. 2,33,000",Manual,Others,Petrol,2016,30,https://hamrobazaar.com/product/ktm-duke2000-bs4-on-sale-in-kathmandu/4f24f063fe7b7e65a0a5b4ddb1b4ad40
TVS Ntorq Race Edition Bs6 version,रू. 204,Automatic,Standard,Petrol,2020,,https://hamrobazaar.com/product/tvs-ntorq-race-edition-bs6-version-in-kathmandu/2d4d96c08fccfaf1eddcee2af5f9f11d
bullet wheel,"रू. 3,500",Automatic,Standard,Petrol,2021,,https://hamrobazaar.com/product/bullet-wheel-in-kathmandu/4d82c01f7eb73adac7609528f8f466a9
Fascino 72 lot urgent sale,"रू. 69,000",Automatic,Scooty,Petrol,2015,35,https://hamrobazaar.com/product/fascino-72-lot-urgent-sale-in-bhaktapur/fce91405e2c1f3cd99c9e884df331f6c
yamaha saluto(Yamaha),"रू. 1,00,000",Automatic,Standard,Petrol,2020,,https://hamrobazaar.com/product/yamaha-saluto-in-nepal/3b6c4fa8fb75447a8dd7a7036f9d73ad
Honda,"रू. 90,000",Manual,Standard,Petrol,2016,35,https://hamrobazaar.com/product/honda-in-kathmandu/91183f79674f8073d424256ac5bdad68
tvs jupiter on sale,"रू. 1,00,000",Automatic,Scooty,Petrol,2017,,https://hamrobazaar.com/product/tvs-jupiter-on-sale-in-nepal/c32843a9d50ca00d8d6aa96556790b9c
Yamaha FZ,"रू. 2,20,000",Manual,Standard,Petrol,2020,,https://hamrobazaar.com/product/yamaha-fz-in-bhaktapur/3d1076719989f33e277ee930c4c89678
MT-15 V2 058 Lot Only 5k Run,"रू. 4,65,000",Automatic,Sport,Petrol,2025,50,https://hamrobazaar.com/product/mt15-v2-058-lot-only-5k-run-in-bhaktapur/b98d5dc7698792124e67a00674a134d5
Foreign Country KO Visa lagako vayera urgent sale,"रू. 4,30,000",Automatic,Cruiser,Petrol,2023,35,https://hamrobazaar.com/product/foreign-country-ko-visa-lagako-vayera-urgent-sale-in-lalitpur/a1a966533009ccad48517fbe49f66d8c
"Honda Aviator Scooter  17,800 km","रू. 1,64,999",Automatic,Scooty,Petrol,2019,,https://hamrobazaar.com/product/honda-aviator-scooter-17800-km-in-kathmandu/b72760bfb15478cf1fe6c59c942f2bf6
Ntorq 125cc 156 Lot Super Fresh Condition Onsell,रू. 173,Manual,Scooty,Petrol,2022,,https://hamrobazaar.com/product/ntorq-125cc-156-lot-super-fresh-condition-onsell-in-bhaktapur/74116381ce2595c36f50fae8a2818068
Fz-x 149 Lot 2023 Model 9823657076,"रू. 2,83,000",Manual,Standard,Petrol,2023,,https://hamrobazaar.com/product/fzx-149-lot-2023-model-9823657076-in-bhaktapur/dc6e6285a324eb719a3aaada5721ec2c
Tvs ntorq on sale,"रू. 1,70,000",Automatic,Standard,Petrol,2022,,https://hamrobazaar.com/product/tvs-ntorq-on-sale-in-kathmandu/b8932f252d62d02464e66513bf083b89
Avenger 220,"रू. 90,000",Manual,Cruiser,Petrol,2010,35,https://hamrobazaar.com/product/avenger-220-in-lalitpur/f793f18362becac88999406efbd42616
TVs Rider 125 Cc 140 Lot 2022 Model 9823657076,"रू. 1,88,000",Manual,Standard,Petrol,2022,,https://hamrobazaar.com/product/tvs-rider-125-cc-140-lot-2022-model-9823657076-in-bhaktapur/45604e662a2a3732aede059c2c3bce0d
Honda Scooter,"रू. 2,45,000",Automatic,Scooty,Petrol,2024,45,https://hamrobazaar.com/product/honda-scooter-in-lalitpur/2a871ae7d7fbfc6d72ac5833ad8777ec
Yamaha R15 V3 102 Lot 2018 Model 9823657076,"रू. 2,28,000",Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/yamaha-r15-v3-102-lot-2018-model-9823657076-in-bhaktapur/26970905b95c1536e9f347b1005b37b2
royal enfield reborn 350 on sale,"रू. 4,39,999",Manual,Cruiser,Petrol,2023,35,https://hamrobazaar.com/product/royal-enfield-reborn-350-on-sale-in-lalitpur/697d343fa83e5d76eab2ac012265c6a3
Yamaha Fz V2 2017 Model 9823657076,"रू. 1,43,000",Manual,Standard,Petrol,2017,,https://hamrobazaar.com/product/yamaha-fz-v2-2017-model-9823657076-in-bhaktapur/368b74c5971ec69aabc152e82ead6fd5
Vespa vlx 150,"रू. 1,43,000",Manual,Scooty,Petrol,2017,,https://hamrobazaar.com/product/vespa-vlx-150-in-lalitpur/29067b9e07fe0101938842176daaf544
Ns 200 Non Abs,"रू. 2,20,000",,,,,,https://hamrobazaar.com/product/ns-200-non-abs-in-bara/3fc4e13a0ff9d814299e55af95451c48
Yamaha bike FZS Version 2,"रू. 1,10,000",Manual,Standard,Petrol,2015,,https://hamrobazaar.com/product/yamaha-bike-fzs-version-2-in-kathmandu/12d2ee75a0ae1e55e0440370984a3098
fz v1 sale or exchange,"रू. 1,10,000",Manual,Sport,Petrol,2016,45,https://hamrobazaar.com/product/fz-v1-sale-or-exchange-in-kathmandu/ce653359d54bb3ac547cdb43b36b222c
Bullet 350cc 80 Lot 9823657076,"रू. 3,48,000",Manual,Standard,Petrol,2016,,https://hamrobazaar.com/product/bullet-350cc-80-lot-9823657076-in-bhaktapur/6eda79f5782ff68b08c9d768c3e3a0ae
tiktok likes views and followers,रू. 99,Manual,Standard,Petrol,2025,,https://hamrobazaar.com/product/tiktok-likes-views-and-followers-in-kathmandu/ee855113270c8c407b4dd20047d248de
Yamaha Fz V2 149 Lot 2023 Model 9823657076,"रू. 2,78,000",Manual,Standard,Petrol,2023,,https://hamrobazaar.com/product/yamaha-fz-v2-149-lot-2023-model-9823657076-in-bhaktapur/b2ae1fe7805f13b151386b211cc8a2d7
NS 200 BS7 on sale. Urgent sale. 18500km run.(Bajaj),"रू. 3,20,000",Manual,Sport,Petrol,2023,40.,https://hamrobazaar.com/product/ns-200-bs7-on-sale-urgent-sale-18500km-run-in-kathmandu/6f57714c039cc8d52691b666f54db3e8
Honda shine 49 lot sale,"रू. 68,000",Automatic,Standard,Petrol,2008,40,https://hamrobazaar.com/product/honda-shine-49-lot-sale-in-kathmandu/9006c864a82bfad9b14fe3a5f4a11e09
Duke 200cc 69 lot 9823657076,"रु 183,000",Manual,Standard,Petrol,2015,,https://hamrobazaar.com/product/duke-200cc-69-lot-9823657076-in-bhaktapur/245974682f9a165ad315a31745e77f94
Urgent Duke 200 On Sale(KTM),"रू. 2,20,000",Manual,Sport,Petrol,2016,,https://hamrobazaar.com/product/urgent-duke-200-on-sale-in-kathmandu/0986713cb91586f7587af4c75e27ed0d
2022 model pulsar 150 TD on sell,"रू. 1,65,999",Manual,Standard,Petrol,2022,45,https://hamrobazaar.com/product/2022-model-pulsar-150-td-on-sell-in-sarlahi/3b5516e6cbfaf9e08d91084340547a54
honda dio 1st hand  2022 fresh 9849686911,"रू. 1,88,500",Manual,Scooty,Petrol,2023,45,https://hamrobazaar.com/product/honda-dio-1st-hand-2022-fresh-9849686911-in-kathmandu/8408e4878086a21773c1ced1e7a1a0fd
Sale bike FZS V3 gray colour,"रू. 3,50,000",Automatic,Standard,Petrol,2024,,https://hamrobazaar.com/product/sale-bike-fzs-v3-gray-colour-in-kathmandu/93f4f146cdde6c0c15e8c3e3d670d302
