iter	Passed	Remaining
399	30086	82738
400	30293	83022
401	30394	83017
402	30501	83026
403	30568	82928
404	30632	82820
405	30691	82699
406	30751	82584
407	30810	82464
408	30869	82342
409	30930	82230
410	31010	82165
411	31084	82086
412	31150	81986
413	31208	81865
414	31266	81744
415	31326	81630
416	31391	81527
417	31456	81426
418	31528	81342
419	31599	81254
420	31672	81175
421	31749	81103
422	31845	81082
423	31931	81033
424	32009	80966
425	32078	80873
426	32146	80780
427	32212	80681
428	32279	80585
429	32344	80484
430	32416	80401
431	32512	80378
432	32590	80308
433	32662	80225
434	32733	80140
435	32799	80043
436	32872	79962
437	32948	79889
438	33033	79837
439	33096	79731
440	33157	79623
441	33216	79508
442	33284	79416
443	33357	79336
444	33432	79261
445	33494	79154
446	33552	79039
447	33619	78946
448	33686	78851
449	33769	78796
450	33837	78703
451	33899	78599
452	33958	78486
453	34014	78369
454	34073	78255
455	34133	78148
456	34200	78055
457	34267	77962
458	34322	77842
459	34384	77737
460	34441	77624
461	34497	77507
462	34560	77406
463	34624	77308
464	34689	77211
465	34749	77105
466	34809	76998
467	34867	76886
468	34924	76775
469	34986	76672
470	35046	76565
471	35112	76472
472	35170	76363
473	35228	76253
474	35288	76148
475	35364	76079
476	35424	75973
477	35487	75875
478	35553	75783
479	35624	75702
480	35686	75600
481	35743	75490
482	35801	75382
483	35864	75285
484	35926	75187
485	35992	75095
486	36048	74984
487	36104	74871
488	36159	74759
489	36217	74652
490	36274	74544
491	36347	74467
492	36414	74379
493	36472	74273
494	36537	74181
495	36604	74094
496	36665	73994
497	36730	73904
498	36794	73811
499	36859	73719
500	36922	73623
501	36981	73520
502	37037	73412
503	37093	73304
504	37156	73209
505	37218	73113
506	37284	73024
507	37342	72920
508	37397	72810
509	37455	72707
510	37518	72614
511	37582	72523
512	37648	72435
513	37708	72335
514	37791	72280
515	37863	72205
516	37924	72108
517	37993	72026
518	38073	71965
519	38142	71884
520	38206	71792
521	38280	71720
522	38351	71643
523	38416	71554
524	38474	71452
525	38565	71412
526	38663	71384
527	38727	71293
528	38787	71195
529	38853	71108
530	38930	71043
531	39030	71017
532	39131	70994
533	39230	70967
534	39341	70961
535	39517	71071
536	39609	71031
537	39683	70958
538	39751	70874
539	39819	70790
540	39893	70716
541	39962	70635
542	40038	70564
543	40114	70496
544	40190	70424
545	40262	70349
546	40334	70272
547	40406	70195
548	40484	70128
549	40577	70087
550	40650	70013
551	40718	69928
552	40775	69827
553	40831	69722
554	40901	69642
555	40979	69576
556	41070	69531
557	41143	69457
558	41219	69387
559	41298	69321
560	41375	69253
561	41451	69184
562	41529	69116
563	41604	69045
564	41675	68967
565	41747	68890
566	41816	68809
567	41892	68739
568	41974	68679
569	42064	68630
570	42153	68582
571	42237	68525
572	42317	68461
573	42390	68386
574	42460	68305
575	42524	68216
576	42586	68123
577	42736	68172
578	42813	68102
579	42869	67999
580	42930	67905
581	42991	67810
582	43053	67718
583	43128	67646
584	43199	67569
585	43281	67506
586	43349	67424
587	43406	67323
588	43465	67228
589	43524	67131
590	43589	67043
591	43662	66969
592	43722	66873
593	43794	66797
594	43860	66712
595	43928	66629
596	44000	66553
597	44065	66467
598	44174	66446
599	44298	66447
600	44361	66357
601	44422	66265
602	44497	66192
603	44612	66180
604	44734	66177
605	44796	66085
606	44853	65986
607	44909	65887
608	44972	65796
609	45041	65717
610	45109	65633
611	45174	65546
612	45243	65467
613	45314	65388
614	45379	65301
615	45443	65214
616	45507	65126
617	45571	65039
618	45643	64963
619	45713	64883
620	45791	64815
621	45858	64732
622	45924	64648
623	45993	64567
624	46059	64483
625	46126	64400
626	46209	64339
627	46295	64282
628	46368	64207
629	46432	64120
630	46503	64043
631	46574	63966
632	46650	63895
633	46721	63818
634	46781	63725
635	46842	63635
636	46909	63552
637	46982	63478
638	47050	63396
639	47122	63321
640	47196	63248
641	47280	63188
642	47343	63100
643	47405	63011
644	47469	62925
645	47534	62840
646	47597	62752
647	47657	62661
648	47726	62581
649	47802	62511
650	47880	62443
651	47956	62372
652	48027	62295
653	48098	62218
654	48159	62129
655	48219	62038
656	48275	61942
657	48344	61863
658	48413	61784
659	48489	61714
660	48555	61631
661	48624	61551
662	48712	61497
