iter	RMSE
198	745143.4839
199	744585.791
200	743865.902
201	742694.8222
202	741602.7548
203	741534.1
204	738261.4298
205	737228.5241
206	736162.071
207	732684.569
208	730729.6876
209	728920.2282
210	725665.7039
211	721333.6592
212	720115.2611
213	718654.9999
214	718341.9002
215	717795.4117
216	717452.3342
217	716718.0172
218	715549.7813
219	715188.7054
220	713393.5141
221	712928.5923
222	711426.2662
223	710739.3229
224	707352.3008
225	706691.1203
226	703922.5458
227	703809.7055
228	700813.5143
229	698842.1915
230	698583.9857
231	696433.8306
232	694886.768
233	692350.4073
234	692183.5946
235	689898.6543
236	688269.8382
237	688086.627
238	684335.8909
239	680183.8607
240	677071.2486
241	674096.6402
242	673270.9475
243	670974.0739
244	668168.7991
245	667626.0817
246	666285.3996
247	663984.9665
248	663326.613
249	661342.5429
250	661278.7158
251	659503.6629
252	658242.6076
253	656550.1329
254	655774.9356
255	655697.9513
256	654216.5399
257	651724.7064
258	649763.0175
259	648287.4239
260	646837.7759
261	646787.2188
262	645403.6786
263	645131.8293
264	643651.1978
265	641989.9716
266	640539.0797
267	639817.1382
268	639212.8664
269	637556.3819
270	637253.2477
271	635614.8509
272	633094.2229
273	632260.9416
274	631491.6441
275	630066.1125
276	629942.0576
277	628527.9724
278	625997.8849
279	622489.4345
280	617670.3591
281	616485.8227
282	615976.3561
283	615560.0583
284	615398.1937
285	615172.147
286	613998.0539
287	611361.4346
288	611047.4857
289	609521.202
290	609328.1202
291	607956.9436
292	606792.6156
293	602912.7683
294	601588.7647
295	597854.5504
296	597713.8546
297	596440.1292
298	596026.3704
299	595809.7405
300	594860.7826
301	594060.5679
302	593805.7445
303	592414.6228
304	589980.2683
305	588438.6038
306	588197.9115
307	586029.8672
308	585899.004
309	584097.713
310	582313.8481
311	581794.5656
312	581216.6526
313	578825.105
314	578705.1783
315	578438.8973
316	578320.669
317	576253.6138
318	574893.3952
319	574103.6921
320	572640.2188
321	571331.7926
322	570696.9763
323	569845.3779
324	569013.5485
325	567763.1409
326	565986.8139
327	564356.2249
328	564315.0559
329	564123.9028
330	563216.8455
331	563166.4562
332	562439.9514
333	561899.5096
334	561482.5955
335	561124.5542
336	560402.5447
337	559307.457
338	559145.0921
339	558467.2517
340	557740.4648
341	557061.6966
342	556913.6895
343	556874.0954
344	555388.6715
345	553965.4998
346	553738.0934
347	551966.167
348	550937.4434
349	546946.4812
350	546398.2201
351	545654.7252
352	545502.7361
353	544741.7286
354	544619.5742
355	543828.5831
356	542897.4969
357	542666.0524
358	541776.7501
359	541108.6528
360	540273.306
361	540005.6797
362	539870.1607
363	539585.0828
364	538753.239
365	538508.1091
366	537889.2687
367	535853.9721
368	535663.158
369	534606.9182
370	534434.901
371	533025.252
372	532954.7771
373	530845.885
374	530485.6306
375	529714.0046
376	529593.1128
377	527565.6123
378	526077.4932
379	525963.796
380	525876.6195
381	524069.5525
382	522795.1433
383	522476.056
384	521152.4782
385	520956.1288
386	520854.2726
387	518340.9347
388	517366.2106
389	516402.459
390	515596.7726
391	513808.5181
392	513381.4607
393	511766.9392
394	511024.7251
395	510166.3332
396	510018.1944
397	509593.1815
398	505975.8931
399	505051.026
400	504438.956
401	503365.0798
402	502537.5736
403	502444.7583
404	502272.4923
405	502003.213
406	501185.0382
407	499842.2526
408	499103.9676
409	499042.2594
410	498584.5906
411	498464.534
412	498375.6066
413	495209.9397
414	495063.1442
415	493766.2572
416	492985.6216
417	491169.2703
418	491030.631
419	489930.0883
420	489238.9787
421	487674.7465
422	485437.8203
423	485364.5061
424	484875.9794
425	484478.6675
426	484161.9495
427	482923.6657
428	481683.4085
429	481174.9843
430	479945.5046
431	479639.115
432	478409.9287
433	477471.5402
434	477109.5857
435	475857.1459
436	474947.8973
437	474749.9567
438	474637.0719
439	473092.9793
440	471122.7512
441	468440.7002
442	468191.165
443	468127.2025
444	467768.3019
445	467704.1602
446	467615.9614
447	467063.6163
448	466900.3685
449	466703.3521
450	465884.8085
451	465400.1536
452	463377.1825
453	462881.4328
454	461901.0706
455	461281.9036
456	459174.036
457	458688.4545
458	456825.9218
459	456698.9916
460	456291.1287
461	455664.3826
462	454846.2064
463	453242.9137
464	452269.3071
465	451258.5337
466	451201.0572
467	449152.904
468	445619.8555
469	445366.7165
470	445234.6913
471	445154.4106
472	444186.0548
473	443403.4338
474	442726.8255
475	441667.4803
476	440060.5052
477	439697.0925
478	437911.3431
479	434897.7851
480	434854.0972
481	434767.9673
482	434688.4501
483	434426.6861
484	434392.8595
485	433934.5086
486	432756.3159
487	432302.3411
488	431626.0465
489	431279.9967
490	431253.5233
491	430316.5137
492	428931.1251
493	428080.9232
494	427632.6935
495	427387.5416
496	427362.1239
497	427330.4923
498	426390.4605
499	425286.745
500	424204.9991
501	423857.2681
502	423688.4055
503	422728.6639
504	421123.2136
505	420100.2154
506	419213.9544
507	418392.6289
508	418252.6831
509	418048.6867
510	417458.9693
511	416167.3482
512	414813.7557
513	413863.061
514	410348.1085
515	410297.7825
516	410059.1583
517	409234.1544
518	408939.1598
519	408139.0995
520	407781.9969
521	407095.2186
522	406234.2854
523	404196.0702
524	403833.4403
525	403762.8816
526	403722.8287
527	403651.1814
528	402902.102
529	402868.8395
530	401619.7658
531	399629.3251
532	399035.1854
533	399012.6152
534	396275.1965
535	395219.793
536	395162.9416
537	393778.7311
538	392307.6345
539	390930.614
540	390214.3767
541	389760.1026
542	389724.1704
543	389185.0505
544	389165.476
545	388447.667
546	387193.5261
547	386076.8334
548	385252.9062
549	384967.1954
550	384203.5169
551	383805.3699
552	382941.3969
553	382650.7988
554	380839.6459
555	380253.9839
556	380151.2356
557	380095.5522
558	379284.6602
559	377901.8554
560	377588.523
561	377206.0049
562	376996.7054
563	376937.0823
564	376404.1626
565	375986.2687
566	375520.9677
567	375207.9473
568	374359.5387
569	374202.99
570	373956.6581
571	373708.8936
572	373241.5753
573	372953.0955
574	372597.932
575	372279.8475
576	371597.8278
577	370786.3294
578	370351.9929
579	370007.2526
580	369748.3048
581	368543.4917
582	368016.6639
583	367905.4559
584	367838.9038
585	367797.7868
586	367269.1337
587	366391.603
588	366166.1832
589	364228.3951
590	364152.1969
591	364096.426
592	364080.3713
593	363646.5399
594	362950.9149
595	362295.9722
596	361664.9216
597	360668.8155
598	360511.5793
599	359441.4485
600	359410.3483
601	358873.5564
602	358772.8694
603	358258.747
604	358177.2244
605	355940.6082
606	355331.7529
607	355243.5717
608	354690.8335
609	354661.9811
610	354489.5201
611	354242.2443
612	352917.0365
613	352798.6416
614	352742.356
615	352175.1564
616	351627.4497
617	350811.3838
618	350068.2458
619	348038.8431
620	347594.7822
621	347471.8964
622	347034.9507
623	346787.6009
624	346228.2307
625	345656.9833
626	344663.7181
627	344651.5813
628	344533.6783
629	344268.0937
630	342893.0351
631	341922.5225
632	340202.2525
633	339931.2773
634	339195.8428
635	338045.6397
636	337362.074
637	337246.625
638	336679.5091
639	336487.8785
640	336341.3268
641	336240.4625
642	336224.0863
643	335996.7264
644	335423.1388
645	335400.6598
646	334873.6295
647	334816.7077
648	333664.8366
649	333561.5093
650	333068.0163
651	332322.6833
652	330781.4813
653	329845.5151
654	329040.8509
655	328779.985
656	328196.7392
657	328133.5703
658	327980.627
659	327220.1386
660	325184.4121
661	324640.1653
662	324227.8047
663	322714.0566
664	322266.711
665	320916.8751
666	320785.2328
667	320650.9316
668	320414.1331
669	319934.9223
670	318501.714
671	317178.4807
672	316581.3909
673	315459.6912
674	315121.6756
675	315091.7144
676	314459.2695
677	313954.7715
678	313559.4325
679	313073.8407
680	312525.2581
681	312497.139
682	312472.3743
683	312415.1014
684	312149.2261
685	310832.5231
686	310798.0371
687	308779.4403
688	308330.0872
689	308132.1184
690	307924.1525
691	307397.6374
692	307042.1533
693	306453.6451
694	305850.0905
695	305277.1317
696	305027.4764
697	304950.9278
698	304858.3847
699	304803.392
700	304768.0113
701	304478.8982
702	302189.3748
703	301204.5867
704	300987.7302
705	300614.9628
706	300360.136
707	298810.0168
708	298495.2225
709	298453.318
710	296349.4417
711	295939.635
712	294111.7477
713	294098.0102
714	293946.064
715	292722.2186
716	292558.607
717	291096.7609
718	290953.2568
719	290398.5832
720	290325.3961
721	289036.2753
722	288513.0813
723	287372.764
724	286861.5562
725	286543.6389
726	286518.0634
727	286440.6878
728	285877.0276
729	285510.9579
730	284273.1077
731	284204.2622
732	283810.2549
733	283269.4306
734	282761.7525
735	282645.016
736	282549.0607
737	281620.7373
738	281337.3934
739	280829.766
740	280526.3882
741	279882.3274
742	279367.1414
743	278312.9
744	277331.7663
745	276646.1002
746	276227.1597
747	275153.2676
748	274880.2646
749	274720.216
750	273465.9522
751	272429.1352
752	271250.9175
753	271216.7588
754	271176.3595
755	270213.1825
756	270094.3246
757	269781.582
758	269133.8066
759	269101.6429
760	268888.2971
761	268405.1779
762	267343.4308
763	267047.2669
764	267007.8037
765	266535.0043
766	265579.1205
767	265310.8434
768	263841.7499
769	263757.1236
770	263727.3017
771	263696.5372
772	263671.804
773	263342.5326
774	263217.4818
775	262834.113
776	262498.0202
777	262363.8876
778	262026.1366
779	261447.2058
780	261426.2893
781	260783.7534
782	260502.6516
783	260170.4444
784	259421.4814
785	258943.7626
786	258916.0912
787	258752.3309
788	258554.4903
789	258261.5568
790	258141.213
791	257473.058
792	256401.5746
793	255897.8206
794	255423.9506
795	255054.0941
796	255011.8171
797	254807.2635
798	254748.5872
799	253346.3863
800	253315.2572
801	253187.1643
802	252737.6573
803	252027.5482
804	251722.7986
805	251537.0999
806	250862.5357
807	250443.4311
808	250081.7704
809	249655.5562
810	248952.2998
811	248662.9339
812	247855.7871
813	247830.9319
814	247792.7657
815	247729.8982
816	247302.4512
817	247256.3256
818	247172.0191
819	247018.1006
820	246247.6742
821	246014.5972
822	245683.2502
823	245259.8986
824	244601.4137
825	244281.8193
826	243504.538
827	243223.9447
828	243171.5298
829	243076.7812
830	242670.8594
831	242570.5156
832	242491.3603
833	242061.6153
834	241129.9579
835	241028.1443
836	240883.0327
837	240210.5336
838	239972.6094
839	239087.2685
840	238900.8823
841	238410.663
842	237975.3748
843	237880.2228
844	237165.3224
845	237069.1012
846	236881.6079
847	236793.5877
848	236590.2703
849	236183.0959
850	236092.0223
851	235976.1036
852	235952.9248
853	235344.504
854	235251.2306
855	234860.4531
856	234821.0676
857	234548.5613
858	234013.7982
859	233800.9387
860	233292.7224
861	232005.5549
862	231926.8859
863	231512.9851
864	230949.5282
865	230902.8641
866	230833.0758
867	230738.4136
868	229928.3598
869	229883.0061
870	229806.2108
871	229520.6643
872	229423.5855
873	229062.9912
874	228752.4152
875	228683.7784
876	228305.5922
877	227597.0852
878	227215.8755
879	227052.9782
880	227000.0435
881	226391.9071
882	225955.3176
883	225753.9462
884	225576.1434
885	225514.0417
886	225424.7033
887	225399.0049
888	225351.5672
889	224336.6283
890	223706.2276
891	223360.5645
892	222855.4931
893	221663.0544
894	221501.3963
895	221367.7191
896	220958.014
897	220942.619
898	219597.2387
899	219493.782
900	219463.4023
901	219146.0203
902	218393.2805
903	218267.2097
904	216803.8772
905	216439.0011
906	216377.797
907	216025.6804
908	215910.8805
909	215890.4855
910	215638.4686
911	214507.7599
912	214308.1568
913	214190.5923
914	214060.0233
915	214026.7481
916	213385.1185
917	212809.5685
918	212722.5121
919	212286.6507
920	212157.0136
921	211799.6673
922	211718.3308
923	211666.5164
924	211596.1752
925	211585.575
926	211561.5308
927	210383.6214
928	209893.4627
929	209166.5618
930	209021.057
931	208550.0368
932	208449.8622
933	208401.847
934	208243.6991
935	208183.9795
936	207612.2543
937	207222.0327
938	206814.7262
939	206725.654
940	206622.9106
941	206550.1934
942	206539.8203
943	206003.2744
944	205877.0869
945	204616.0446
946	204590.6726
947	204293.7618
948	203823.1525
949	203418.5606
950	202987.6827
951	202694.5612
952	202679.4095
953	202555.6459
954	202161.6492
955	201952.0528
956	201647.7644
957	201287.6447
958	200768.6637
959	200486.7602
960	199619.6692
961	199476.3773
962	199219.2208
963	199184.7827
964	198918.4898
965	197896.2163
966	197643.0574
967	197383.6188
968	196271.6816
969	196097.6806
970	194711.6382
971	194086.9572
972	193755.8975
973	193372.5229
974	193068.4726
975	192300.6448
976	192289.0486
977	192252.2975
978	192144.2528
979	191520.8678
980	190430.4417
981	190235.4797
982	190153.3194
983	189994.0646
984	189812.1034
985	189670.5861
986	189496.5572
987	189483.5864
988	189390.4241
989	188958.5054
990	188375.2358
991	188153.6223
992	187964.8931
993	187894.1638
994	187327.7878
995	187239.568
996	186182.6446
997	185923.9981
998	185285.2047
999	185204.618
1000	184603.2365
1001	184354.0442
1002	184316.6166
1003	184148.4461
1004	184070.5923
1005	183028.6594
1006	182881.1928
1007	182631.9907
1008	182501.2221
1009	182205.9965
1010	182196.5105
1011	182023.0721
1012	181883.9679
1013	181820.0532
1014	181721.8833
1015	181592.1316
1016	181219.6815
1017	181147.1057
1018	181065.6029
1019	180770.4847
1020	180543.9045
1021	180294.6622
1022	179982.2316
1023	179947.5329
1024	179704.8698
1025	179479.6719
1026	179338.4481
1027	179321.1086
1028	178868.7438
1029	178803.348
1030	178737.3835
1031	178124.0244
1032	178046.7596
1033	177858.0983
1034	176742.1595
1035	176487.4932
1036	176246.4458
1037	176213.159
1038	175566.4966
1039	175254.5013
1040	175233.4914
1041	175172.8178
1042	174845.3816
1043	174768.4752
1044	174299.8062
1045	174046.3024
1046	173844.8086
1047	173823.2922
1048	173197.1141
1049	173075.2524
1050	172992.8249
1051	172958.3911
1052	172831.5875
1053	172428.8315
1054	172396.0447
1055	172302.4641
1056	172294.9179
1057	171821.5159
1058	171817.2981
1059	171396.4467
1060	170592.9592
1061	170057.7959
1062	170026.7332
1063	169736.6977
1064	169649.0422
1065	169606.8273
1066	169538.0311
1067	169379.1972
1068	169296.2435
1069	168461.9664
1070	167850.9751
1071	167704.7155
1072	167501.7226
1073	167376.9108
1074	167327.0629
1075	167260.1479
1076	167249.6989
1077	167193.4782
1078	167151.5157
1079	167065.6933
1080	166858.056
1081	166846.2732
1082	166199.1193
1083	165967.5369
1084	165743.2367
1085	165535.1113
1086	165146.4675
1087	164998.5161
1088	164451.7411
1089	164428.5985
1090	164067.9367
1091	163956.1854
1092	163946.0429
1093	163746.313
1094	163383.6616
1095	163186.9375
1096	162624.2421
1097	162211.4558
1098	162155.6502
1099	162138.5401
1100	162096.3508
1101	161849.0749
1102	161835.3723
1103	161311.8642
1104	161242.9964
1105	160292.9504
1106	158927.4746
1107	158879.1784
1108	158511.0496
1109	158286.4609
1110	158202.3401
1111	158188.1621
1112	158032.4506
1113	158001.7864
1114	157995.2002
1115	157549.8009
1116	157392.5004
1117	156676.9874
1118	156455.4127
1119	156380.4714
1120	156254.2406
1121	156213.8518
1122	156191.0265
1123	155745.5241
1124	154958.6296
1125	154702.7916
1126	154680.7292
1127	154649.9313
1128	154626.5245
1129	154578.1827
1130	154381.573
1131	154189.5664
1132	153786.9586
1133	153757.4515
1134	153554.2622
1135	153346.3169
1136	153149.4285
1137	153038.8725
1138	152833.8908
1139	152703.2998
1140	152495.9971
1141	152473.176
1142	152303.1361
1143	152283.0163
1144	152023.7366
1145	151754.4068
1146	151610.6336
1147	151410.2899
1148	151066.0065
1149	150972.5002
1150	150704.5595
1151	150463.2386
1152	150007.6317
1153	149995.2882
1154	149881.0247
1155	149486.363
1156	149427.933
1157	149284.896
1158	149191.2305
1159	149058.6581
1160	148870.0718
1161	148543.0668
1162	148117.4647
1163	148101.115
1164	148004.0691
1165	147782.1072
1166	147725.766
1167	147519.4968
1168	147347.2291
1169	147048.8988
1170	145860.8844
1171	145838.8124
1172	145332.427
1173	145192.515
1174	145022.3824
1175	144548.4255
1176	144437.653
1177	144191.1782
1178	143925.3392
1179	143635.1846
1180	143526.0252
1181	143212.9243
1182	142719.8781
1183	142674.677
1184	142459.5777
1185	142231.3111
1186	142034.8947
1187	141928.2636
1188	141462.7508
1189	141079.4715
1190	140912.6436
1191	140820.2603
1192	140809.349
1193	140763.3878
1194	140661.4363
1195	140498.2774
1196	139801.6371
1197	139536.521
1198	139471.057
1199	138966.0493
1200	138727.2014
1201	138711.2277
1202	138483.9875
1203	138343.3581
1204	138282.106
1205	138131.9325
1206	138018.5952
1207	137846.3974
1208	137468.8741
1209	137046.4024
1210	136828.5802
1211	136668.4457
1212	136602.2215
1213	136356.0489
1214	136018.0288
1215	135897.571
1216	135671.2267
1217	135499.985
1218	135292.5872
1219	135232.4766
1220	134447.1063
1221	134005.1323
1222	133872.6277
1223	133866.006
1224	133583.5705
1225	133450.2972
1226	133300.8086
1227	132948.4125
1228	132922.4725
1229	132747.4905
1230	132614.4541
1231	132471.181
1232	132198.906
1233	132062.56
1234	131912.7921
1235	131808.4367
1236	131726.7343
1237	131572.1604
1238	131200.3796
1239	131084.3846
1240	130961.5452
1241	130814.7876
1242	130580.7812
1243	130515.5547
1244	130405.9796
1245	129793.0628
1246	129469.9034
1247	129227.5216
1248	128722.0765
1249	128591.8456
1250	128334.2608
1251	128329.2021
1252	128206.4316
1253	128007.462
1254	127440.7815
1255	127422.0085
1256	127410.3347
1257	127401.8376
1258	127138.0434
1259	127126.4215
1260	126991.8303
1261	126984.4615
1262	126759.2475
1263	126569.9984
1264	126262.968
1265	126215.0774
1266	125555.1055
1267	125475.2607
1268	125247.3217
1269	124998.4164
1270	124868.1532
1271	124413.6972
1272	124192.3427
1273	124004.736
1274	123642.9682
1275	123499.4139
1276	123426.0764
1277	123334.2831
1278	122870.8651
1279	122550.9593
1280	122434.771
1281	122030.5673
1282	121919.2385
1283	121859.3672
1284	121325.2127
1285	121288.7377
1286	121147.1704
1287	120488.2277
1288	120093.7178
1289	119843.7557
1290	119523.7499
1291	119222.6954
1292	119216.6868
1293	119089.0376
1294	119052.1289
1295	118941.5841
1296	118583.7023
1297	118519.2543
1298	118505.5814
1299	118438.4937
1300	118330.1443
1301	117914.873
1302	117821.2572
1303	117524.7561
1304	117491.8616
1305	116857.4749
1306	116818.849
1307	116690.2984
1308	116685.8193
1309	116644.4629
1310	116497.3665
1311	116351.4691
1312	116093.0089
1313	115952.3143
1314	115940.142
1315	115862.3068
1316	115767.8459
1317	115587.1257
1318	115478.8853
1319	115451.0821
1320	115335.6295
1321	115212.8854
1322	115196.5933
1323	115091.0427
1324	115074.6532
1325	114763.5856
1326	114193.3103
1327	113980.2786
1328	113838.9006
1329	113723.0622
1330	113531.7345
1331	113498.5933
1332	113436.8838
1333	113106.1946
1334	113006.42
1335	112965.4946
1336	112528.8505
1337	112516.3408
1338	112113.3355
1339	112076.6057
1340	111940.0693
1341	111892.4864
1342	111880.454
1343	111780.8744
1344	111762.1142
1345	111259.4654
1346	111138.672
1347	110965.8011
1348	110862.6921
1349	110637.1491
1350	110517.5713
1351	110346.3422
1352	110297.1253
1353	110241.6822
1354	110109.6843
1355	109487.7962
1356	109372.8751
1357	109343.2808
1358	109207.7564
1359	109139.4285
1360	108522.3188
1361	108357.2507
1362	108245.6726
1363	108117.5604
1364	108060.0793
1365	107731.7093
1366	107525.4644
1367	107481.0429
1368	107463.6176
1369	107243.4763
1370	107090.4045
1371	106926.2452
1372	106685.8017
1373	106666.8023
1374	106528.4902
1375	106511.9262
1376	106506.3567
1377	106224.418
1378	106161.5664
1379	106138.2974
1380	105659.403
1381	105628.2984
1382	105581.7697
1383	105470.3979
1384	105373.5829
1385	105232.4473
1386	105049.5644
1387	104846.6705
1388	104066.7988
1389	103988.9177
1390	103926.2686
1391	103788.9121
1392	103773.3318
1393	103760.9177
1394	103467.8607
1395	103459.9996
1396	103310.3203
1397	103147.1936
1398	103010.9057
1399	102818.8684
1400	102792.6639
1401	102590.0699
1402	102423.7602
1403	102223.1918
1404	102011.3006
1405	102004.3696
1406	101427.7104
1407	101293.2945
1408	101287.6118
1409	101242.904
1410	101032.5139
1411	100943.404
1412	100818.3131
1413	100801.7982
1414	100684.9479
1415	100652.8993
1416	100642.631
1417	100607.1229
1418	100518.0819
1419	100092.5797
1420	99858.27778
1421	99651.52606
1422	99448.6686
1423	99424.45942
1424	99272.90153
1425	99132.95338
1426	99074.23067
1427	98924.71607
1428	98868.00673
1429	98735.72982
1430	98158.80002
1431	97875.98408
1432	97779.60262
1433	97355.30494
1434	97340.95043
1435	96890.87661
1436	96855.03612
1437	96755.87248
1438	96726.3761
1439	96666.82515
1440	96580.84016
1441	96538.94035
1442	96365.20652
1443	96239.29783
1444	96221.13944
1445	96214.15038
1446	96171.84563
1447	96092.05596
1448	96065.41611
1449	95963.18037
1450	95848.85349
1451	95700.13642
1452	95676.8502
1453	94837.40772
1454	94749.05173
1455	94708.08661
1456	94354.94809
1457	94320.15643
1458	94066.44454
1459	93965.15994
1460	93910.12701
1461	93833.40335
1462	93646.34377
1463	93583.06972
1464	93483.25069
1465	93451.16391
1466	93417.53132
1467	93346.64333
1468	93283.46218
1469	92973.31052
1470	92789.17388
1471	92630.28892
1472	92191.44686
1473	92186.86894
1474	92100.55598
1475	91910.26154
1476	91609.09179
1477	91453.48346
1478	91359.65344
1479	91273.37667
1480	91265.26775
1481	91251.11304
1482	90922.0911
1483	90837.5906
1484	90770.4817
1485	90755.9659
1486	90747.25022
1487	90711.57469
1488	90389.0449
1489	90290.55662
1490	89989.00774
1491	89717.38823
1492	89411.24402
1493	89306.50377
1494	89242.96673
1495	89232.31898
1496	89185.85656
1497	89087.66371
1498	88846.38364
1499	88809.52418
