,Price,Transmission,Types,Fuel,Make Year,Lot No,Kilometer Run,Mileage (Km/L),Engine (CC),Color,Brand
337,113000,Automatic,Sport,Petrol,2017,86,25000,45,160,Other,Other
338,110000,Automatic,Standard,Petrol,2017,86,23000,40,150,Other,Suzuki
339,195000,Manual,Sport,Petrol,2019,11,25000,45,150,Other,FZ
340,177000,Manual,Sport,Petrol,2018,97,23000,40,250,Other,CF Moto
341,141000,Automatic,Scooty,Petrol,2020,110,23000,45,110,Grey,Other
342,495000,Manual,Dirt,Petrol,2019,104,35000,40,190,Red,Other
343,148000,Manual,Others,Petrol,2016,86,23000,40,150,Other,Honda
344,217000,Automatic,Scooty,Petrol,2023,144,19000,40,125,Blue,Other
345,65000,Manual,Scooty,Petrol,2010,41,33808,35,110,Black,Other
346,255000,Automatic,Sport,Petrol,2021,86,12000,45,220,Other,Other
347,52000,Manual,Standard,Petrol,2009,86,23000,40,150,Other,Honda
349,134000,Manual,Scooty,Petrol,2017,82,22000,40,110,Other,Honda
350,288000,Manual,Standard,Petrol,2020,86,23000,40,150,Other,Jawa
352,75000,Automatic,Scooty,Petrol,2021,86,23000,40,150,Other,Hero
353,420000,Automatic,Dirt,Petrol,2021,86,12000,25,250,Other,Other
354,40000,Manual,Others,Petrol,1997,86,23000,40,150,Other,Rx
355,70000,Automatic,Standard,Petrol,2012,86,23000,40,150,Other,Other
356,160000,Automatic,Standard,Petrol,2021,86,23000,45,110,Silver,Honda
357,145000,Manual,Sport,Petrol,2022,86,23000,40,150,Other,Other
358,40000,Manual,Standard,Petrol,2013,33,23000,40,150,Other,Other
359,453,Manual,Dirt,Petrol,2025,155,2800,38,200,White,Xpulse
360,90000,Manual,Scooty,Petrol,2015,86,23000,40,110,Other,Honda
361,249000,Automatic,Dirt,Petrol,2019,113,23000,40,250,Other,Other
362,350000,Automatic,Scooty,Petrol,2022,33,19855,40,160,Red,Other
363,97000,Automatic,Scooty,Petrol,2018,102,11000,35,125,Other,Yamaha
364,270000,Manual,Scooty,Petrol,2025,60,23000,40,150,Other,Other
365,445000,Manual,Sport,Petrol,2022,86,23000,40,250,Other,Duke
366,153000,Manual,Sport,Petrol,2022,86,23000,40,150,Other,Other
368,165000,Manual,Sport,Petrol,2018,86,23000,40,150,Other,Other
